test_id,is_female
0,0.96
1,0.24
2,0.94
3,0.95
4,0.38
5,0.98
6,0.16
7,0.88
8,0.14
9,0.2
10,0.03
11,0.51
12,0.62
13,0.5
14,0.51
15,0.66
16,0.33
17,0.64
18,0.11
19,0.81
20,0.02
21,0.97
22,0.62
23,0.89
24,0.44
25,0.64
26,0.38
27,0.5
28,0.11
29,0.78
30,0.99
31,0.12
32,0.02
33,0.37
34,0.99
35,0.01
36,0.97
37,0.09
38,0.31
39,0.77
40,0.85
41,0.92
42,0.04
43,0.01
44,0.64
45,0.11
46,0.99
47,0.99
48,0.42
49,1
50,0.99
51,0.97
52,0.32
53,0.54
54,0.73
55,0.18
56,0.35
57,0.97
58,0.54
59,0.29
60,0.23
61,0.58
62,0.11
63,0.27
64,0.97
65,0.21
66,0.11
67,0.03
68,0.95
69,0.99
70,0.04
71,0.92
72,0.99
73,0
74,0.33
75,0.94
76,0.02
77,0.97
78,0.56
79,0.03
80,0.68
81,0.09
82,0.74
83,0.38
84,0.83
85,0.01
86,0.37
87,0.25
88,0.51
89,0.26
90,0.99
91,0.32
92,0.05
93,0.19
94,0.03
95,0.02
96,0.84
97,0.95
98,0.38
99,0.53
100,0.96
101,0.01
102,1
103,0.99
104,0.04
105,0.97
106,0.98
107,0.96
108,0.216879156
109,0
110,0.97
111,0.03
112,0.03
113,0.95
114,0.93
115,0.01
116,0.19
117,0
118,0.3
119,0.68
120,0.49
121,0.94
122,0.62
123,0.26
124,0.86
125,0.19
126,0.83
127,0.88
128,0.19
129,0.1
130,0.92
131,0.98
132,0.08
133,0.02
134,0.99
135,0.24
136,0.91
137,0.02
138,1
139,0.96
140,0.27
141,0.97
142,0.92
143,0.24
144,0.87
145,0.75
146,0.88
147,0.32
148,0.98
149,0.61
150,0.95
151,0.51
152,0.98
153,0.94
154,1
155,0.77
156,1
157,1
158,0.02
159,0.02
160,0.29
161,0.91
162,1
163,0.22
164,0.77
165,0.22
166,0.07
167,1
168,0.74
169,0.41
170,0.68
171,1
172,0.5
173,0.01
174,0.84
175,1
176,0.73
177,0.46
178,0.16
179,0.26
180,0.75
181,1
182,0.23
183,0.01
184,0.06
185,0.92
186,0.35
187,0.94
188,0.47
189,0.94
190,0
191,0.19
192,0.04
193,0.86
194,0.31
195,0.72
196,0.96
197,0.91
198,0.84
199,0.5
200,0.6
201,0.1
202,1
203,0.44
204,0.15
205,0.9
206,0.85
207,0.3
208,0.98
209,0.98
210,0.92
211,0.86
212,0.22
213,0.84
214,0.97
215,0.57
216,0.8
217,0.97
218,0.18
219,0.11
220,0.06
221,0.47
222,0
223,0.54
224,0.84
225,0.58
226,0.52
227,0.26
228,0.29
229,0.55
230,0.29
231,0.93
232,0.27
233,0.62
234,0.01
235,0.05
236,0.34
237,1
238,0.05
239,0.15
240,0.43
241,0.87
242,0.51
243,0.68
244,0.82
245,0.67
246,0.11
247,0.01
248,0.97
249,0.36
250,0.08
251,0.24
252,0.53
253,0.9
254,0.36
255,0.03
256,0.89
257,0.33
258,0.05
259,1
260,0.01
261,0.66
262,0.69
263,0.57
264,0.98
265,0.41
266,0.734639867
267,0.64
268,0.18
269,1
270,0.99
271,0.76
272,0.68
273,0.98
274,0.46
275,0.77
276,0.07
277,0.33
278,0.95
279,1
280,0.29
281,0.07
282,0.95
283,0.04
284,0.11
285,0.19
286,0.02
287,0.55
288,0
289,1
290,0.76
291,0.98
292,0.24
293,0.15
294,0.09
295,0.57
296,0.14
297,0.31
298,0.01
299,0
300,0.12
301,0.86
302,0.84
303,0.19
304,0.97
305,0.03
306,0.95
307,0.12
308,0.04
309,0.48
310,0.02
311,0.19
312,0.14
313,0.99
314,0.04
315,0.67
316,0.21
317,0.99
318,0.99
319,0.95
320,0.28
321,0.99
322,0.97
323,0.94
324,0.81
325,0.21
326,0.97
327,0.77
328,0.68
329,0.96
330,0.28
331,0.57
332,0.34
333,0.98
334,0.41
335,0
336,0.97
337,0.99
338,0.05
339,0.11
340,1
341,0.86
342,0.65
343,0.77
344,0.99
345,0.09
346,0.71
347,0.22
348,0.11
349,0.35
350,0.9
351,0.02
352,0.2
353,0.03
354,0.95
355,0.68
356,0.58
357,0.99
358,0.01
359,0.26
360,0.99
361,0.82
362,0.78
363,1
364,0.9
365,0.69
366,1
367,0.6
368,0.88
369,0.07
370,0.97
371,0.19
372,0.05
373,0.76
374,0.88
375,0.12
376,0.48
377,0.06
378,0.32
379,0.6
380,0.54
381,0.7
382,0.97
383,0.38
384,0.01
385,0.05
386,0.98
387,0.97
388,0.92
389,0.27
390,0.03
391,0.28
392,0.51
393,0.04
394,0.91
395,0.95
396,0.01
397,0.06
398,0.95
399,0.39
400,0.99
401,0
402,0.98
403,0.14
404,0.26
405,0.01
406,0.2
407,1
408,0.9
409,0.07
410,0.96
411,0
412,0.33
413,0
414,0.08
415,0.9
416,0.05
417,0.13
418,0.98
419,0.03
420,0.75
421,0.99
422,0.94
423,0.14
424,0.98
425,0.86
426,0.98
427,0.99
428,0.55
429,0.65
430,0.67
431,0.3
432,0.58
433,0.51
434,0.06
435,0.9
436,0.28
437,0.93
438,0.93
439,0.93
440,0.25
441,0.07
442,0.12
443,0.29
444,0.91
445,0.05
446,0.85
447,0.11
448,0.6
449,0.92
450,0.06
451,0.13
452,0.99
453,0.7
454,0.43
455,0.72
456,0.96
457,0.99
458,0.53
459,1
460,0.83
461,0.69
462,0
463,0.96
464,0.23
465,0.94
466,0.12
467,0.98
468,0.97
469,0.35
470,0.05
471,0.56
472,0.88
473,0.24
474,0.85
475,0.98
476,1
477,0.19
478,0.59
479,0.28
480,0.76
481,0.98
482,0.03
483,1
484,0.06
485,0.06
486,0.96
487,0.42
488,0.97
489,0.99
490,0.87
491,0.97
492,1
493,0.36
494,0.48
495,1
496,0.49
497,1
498,0.89
499,0.58
500,0.93
501,0.3
502,0.35
503,0.68
504,0.03
505,0.07
506,0.51
507,0.81
508,0.47
509,0.99
510,1
511,0.04
512,0.04
513,0.99
514,0.57
515,0.85
516,0.96
517,0.8
518,1
519,0.77
520,0.72
521,0.04
522,0.98
523,0.2
524,1
525,0.03
526,0.29
527,0.95
528,0.07
529,0.53
530,0.13
531,0.78
532,0.16
533,0.07
534,0.39
535,0.01
536,0.08
537,0.99
538,0.58
539,0.01
540,0.23
541,0.98
542,0.82
543,0.16
544,0.01
545,0.45
546,0.67
547,0.11
548,0.07
549,0.71
550,0.59
551,0.23
552,0.03
553,0.98
554,0.02
555,0.99
556,1
557,0.9
558,0.08
559,0.02
560,0.92
561,0.17
562,0.93
563,0.86
564,0.82
565,0.02
566,0.08
567,0.96
568,0.98
569,0.8
570,1
571,0.05
572,0.3
573,0.8
574,0.93
575,0.82
576,0.94
577,0.69
578,0.11
579,0.96
580,0.99
581,1
582,0.04
583,0.98
584,0.96
585,0.61
586,0.86
587,0.02
588,0.03
589,0.36
590,1
591,0.21
592,0.85
593,0.56
594,0.35
595,0.98
596,0.02
597,0.85
598,0.83
599,0.24
600,0.04
601,0.29
602,0.5
603,0.14
604,0.98
605,0.01
606,0.13
607,0.46
608,0.02
609,0.9
610,0.81
611,0.08
612,0.46
613,0.13
614,0.79
615,0.09
616,1
617,1
618,0.63
619,0.32
620,0.91
621,0.5
622,0.48
623,0.2
624,0.45
625,0.9
626,0.03
627,0.26
628,0.04
629,0.2
630,1
631,0.92
632,0.97
633,0.05
634,0.09
635,0.89
636,0.99
637,0
638,0.02
639,0.94
640,1
641,0.92
642,0.65
643,0.3
644,0.73
645,0.220059559
646,0
647,0.95
648,0
649,0.62
650,0.15
651,0.2
652,0.76
653,0.07
654,0.09
655,0.01
656,0.33
657,0.94
658,1
659,0.03
660,0.98
661,0.02
662,0.09
663,0.07
664,0.08
665,0.97
666,0.25
